,nombre,precios,descripcion,genero,mateiral
0,CHAQUETA VENUE AZUL MARINO,"219,90€",La chaqueta Venue está hecha de poliéster reciclado que procede de botellas de plástico a las que damos una segunda vida. Lleva capucha incorporada ajustable y entre sus propiedades técnicas destaca que es impermeable y transpirable; el abrigo perfecto para los días de lluvia.,hombre,Tejido principal: 100% poliéster reciclado
2,CHAQUETA GRAYS AZUL MARINO,"229,90€","La chaqueta Grays es monomaterial y está hecha de 100% poliéster reciclado procedente de botellas de plástico. Además, es transpirable y repelente al agua. Una chaqueta muy cómoda y perfecta para este invierno con la que combinarás estilo y sostenibilidad.",hombre,Tejido principal: 100% poliéster reciclado
4,ABRIGO LIVORNO NEGRO,"399,90€",El abrigo Livorno está hecho con nuestro Hilo del Mar procedente de botellas de plástico recicladas del fondo del mar a través del proyecto Upcycling the Oceans de la Fundación Ecoalf. Hemos recogido más de 1.450 toneladas del fondo del océano desde 2015 gracias al apoyo de más de 4.500 pescadores. Ayúdanos a seguir limpiando nuestros océanos.,hombre,Tejido principal: 100% poliéster reciclado
6,ABRIGO VELAN AZUL MARINO,"349,90€","El abrigo Velan integra la tecnología innovadora dope dye que permite un proceso de teñido sin agua. En lugar de sumar otro paso adicional en el proceso de teñido (después de hilar el hilo), con esta tecnología se añaden los gránulos de colorante directamente a los gránulos de poliéster 100% reciclado, se funden para que se mezclen y luego se transforman en un hilo. Esto sella el color en el hilo mientras el poliéster se enfría hasta adquirir una forma sólida. ",hombre,Tejido principal: 100% poliéster reciclado
8,ABRIGO PASU AZUL MARINO,"275,00€","El abrigo Pasu es resistente al agua y está hecho de 100% poliéster reciclado procedente de de botellas de plástico (PET). Al convertir botellas de plástico usadas en poliéster reciclado, logramos simplificar el proceso de producción, lo que se traduce en ahorros significativos de emisiones de CO2.",hombre,Tejido principal: 100% poliéster reciclado
10,CHAQUETA VENUE VERDE OSCURO,"219,90€",La chaqueta Venue está hecha de poliéster reciclado que procede de botellas de plástico a las que damos una segunda vida. Lleva capucha incorporada ajustable y entre sus propiedades técnicas destaca que es impermeable y transpirable; el abrigo perfecto para los días de lluvia.,hombre,Tejido principal: 100% poliéster reciclado
12,CHAQUETA VINSON VERDE,"249,00€",La chaqueta Vinson está hecha de 100% poliéster ,hombre,Tejido principal: 100% poliéster reciclado
14,ABRIGO ICEBERG VERDE OSCURO,"499,90€","El abrigo Iceberg está hecho con prendas post-consumo y con nuestro Hilo del Mar hecho con botellas del océano gracias a la Fundación Ecoalf. El proyecto Upcycling the Oceans reúne a más de 4.200 pescadores de todo el mar Mediterráneo y ha recogido más de 1.500 toneladas de residuos desde 2015. Una prenda abrigada, cómoda y resistente, todo un básico para combatir el invierno combinando moda y sostenibilidad.",hombre,Tejido principal: 100% poliéster reciclado
16,ABRIGO PARKO AZUL MARINO,"375,00€","El abrigo Parko está hecho con prendas post-consumo y con nuestro Hilo del Mar hecho con botellas del océano gracias a la Fundación Ecoalf. El proyecto Upcycling the Oceans reúne a más de 4.200 pescadores de todo el mar Mediterráneo y ha recogido más de 1.500 toneladas de residuos desde 2015. Una prenda abrigada, cómoda y resistente, todo un básico para combatir el invierno combinando moda y sostenibilidad.",hombre,Tejido principal: 100% poliéster reciclado
18,CHAQUETA VINSON AZUL MARINO,"249,00€",La chaqueta Vinson está hecha de 100% poliéster ,hombre,Tejido principal: 100% poliéster reciclado
20,CHAQUETA CARTES VERDE,"219,90€","La chaqueta Cartes es monomaterial y está hecha de Poliéster reciclado 100% procedente de botellas de plástico recicladas que luego transformamos en fibras para ofrecer prendas de bajo impacto ambiental con la mejor calidad. De esta manera, damos una segunda vida a materiales que serían considerados residuos. Abrigada y resistente, todo un básico para combatir el invierno combinando moda y sostenibilidad.",hombre,Tejido principal: 100% poliéster reciclado
22,ABRIGO NEW VINTAGE GRIS OSCURO,"299,90€","El abrigo New Vintage está hecha de 85% poliéster reciclado que proviene de botellas de plástico a las que damos una segunda vida. Lleva capucha incorporada y tiene un diseño atemporal, lo que hace que sea perfecto para este invierno",hombre,Tejido principal: 100% poliéster reciclado
24,CHAQUETA GRAYS VERDE,"229,90€","La chaqueta Grays es monomaterial y está hecha de 100% poliéster reciclado procedente de botellas de plástico. Además, es transpirable y repelente al agua. Una chaqueta muy cómoda y perfecta para este invierno con la que combinarás estilo y sostenibilidad.",hombre,Tejido principal: 100% poliéster reciclado
